date,gpr,gpr_act,gpr_threat,gpr_ma7,gpr_event_label
1985-01-01,"230,04","275,20",153.03,230.04,
1985-01-02,"115,68","146,77",87.44,172.86,
1985-01-03,"97,43","158,94",29.46,147.71,
1985-01-04,"157,37","156,88",157.03,150.13,
1985-01-05,"81,36","92,70",77.32,136.37,
1985-01-06,"167,30","166,79",208.67,141.53,
1985-01-07,"105,31","57,27",143.3,136.36,
1985-01-08,"87,40","34,85",130.82,115.98,
1985-01-09,"121,40","103,74",129.79,116.8,
1985-01-10,"140,63","77,89",181.9,122.97,
1985-01-11,"94,85","130,93",72.81,114.04,
1985-01-12,"95,55","42,34",123.6,116.07,
1985-01-13,"91,78","16,64",138.77,105.28,
1985-01-14,"211,64","183,47",229.54,120.47,
1985-01-15,"97,17","105,68",102.83,121.86,
1985-01-16,"106,33","114,16",95.22,119.71,
1985-01-17,"54,69","62,31",38.98,107.43,
1985-01-18,"111,21","63,35",132.11,109.77,
1985-01-19,"51,60","41,15",68.65,103.49,
1985-01-20,"77,84","68,98",86.3,101.5,
1985-01-21,"138,41","183,98",76.73,91.04,
1985-01-22,"51,76","61,92",34.43,84.55,
1985-01-23,"124,85","82,97",138.42,87.19,
1985-01-24,"83,65","50,04",97.38,91.33,
1985-01-25,"70,18","13,99",105.04,85.47,
1985-01-26,"54,13","43,17",72.01,85.83,
1985-01-27,"63,70","47,63",66.21,83.81,
1985-01-28,"101,50","36,80",138.11,78.54,
1985-01-29,"76,81","114,87",47.9,82.12,
1985-01-30,"16,16","0,00",26.87,66.59,
1985-01-31,"111,48","111,14",119.19,70.57,
1985-02-01,"106,61","106,28",88.65,75.77,
1985-02-02,"119,37","99,17",132.35,85.09,
1985-02-03,"112,16","104,36",124.36,92.01,
1985-02-04,"80,36","89,01",89.09,88.99,
1985-02-05,"174,89","123,07",239.52,103.0,
1985-02-06,"124,22","49,54",165.27,118.44,
1985-02-07,"130,96","76,80",153.74,121.23,
1985-02-08,"147,88","103,20",172.16,127.12,
1985-02-09,"123,83","144,03",120.13,127.76,
1985-02-10,"133,99","89,05",185.7,130.88,
1985-02-11,"139,18","111,00",154.31,139.28,
1985-02-12,"153,86","126,32",150.52,136.28,
1985-02-13,"109,64","140,53",78.14,134.19,
1985-02-14,"80,21","63,97",80.03,126.94,
1985-02-15,"83,96","60,87",88.85,117.81,
1985-02-16,"63,10","62,90",52.47,109.13,
1985-02-17,"68,30","51,07",70.99,99.75,
1985-02-18,"128,76","163,37",77.87,98.26,
1985-02-19,"100,11","72,58",136.21,90.58,
1985-02-20,"64,59","36,80",92.07,84.15,
1985-02-21,"85,60","102,40",56.94,84.91,
1985-02-22,"157,74","104,84",174.89,95.46,
1985-02-23,"200,44","126,21",228.08,115.08,
1985-02-24,"91,59","76,09",114.24,118.4,
1985-02-25,"100,13","99,82",97.14,114.31,
1985-02-26,"125,18","115,20",112.1,117.9,
1985-02-27,"120,73","75,22",150.59,125.92,
1985-02-28,"144,72","144,28",133.71,134.36,
1985-03-01,"146,57","131,51",134.07,132.77,
1985-03-02,"149,53","68,80",191.28,125.49,
1985-03-03,"77,76","15,50",116.39,123.52,
1985-03-04,"82,61","115,29",68.69,121.02,
1985-03-05,"137,31","102,66",171.26,122.75,
1985-03-06,"179,06","178,51",148.89,131.08,
1985-03-07,"132,50","108,78",129.62,129.33,
1985-03-08,"91,80","106,77",63.61,121.51,
1985-03-09,"90,14","67,40",112.43,113.03,
1985-03-10,"119,37","104,13",124.08,118.97,
1985-03-11,"129,74","155,20",115.07,125.7,
1985-03-12,"232,91","344,00",143.46,139.36,
1985-03-13,"183,18","228,27",177.71,139.95,
1985-03-14,"177,46","221,14",122.97,146.37,
1985-03-15,"138,34","76,62",191.73,153.02,
1985-03-16,"194,86","107,92",252.05,167.98,
1985-03-17,"42,65","28,35",47.29,157.02,
1985-03-18,"124,33","123,95",132.93,156.25,
1985-03-19,"139,11","138,68",144.59,142.85,
1985-03-20,"136,23","128,66",143.09,136.14,
1985-03-21,"118,59","110,34",157.78,127.73,
1985-03-22,"102,78","110,34",78.89,122.65,
1985-03-23,"98,72","109,35",91.21,108.92,
1985-03-24,"79,82","39,79",132.75,114.23,
1985-03-25,"75,63","120,63",37.73,107.27,
1985-03-26,"95,39","103,74",72.11,101.02,
1985-03-27,"135,94","71,33",166.58,100.98,
1985-03-28,"145,02","136,96",165.02,104.76,
1985-03-29,"87,00","26,69",122.42,102.5,
1985-03-30,"142,70","142,26",152.56,108.78,
1985-03-31,"70,31","46,73",77.96,107.43,
1985-04-01,"90,26","89,98",90.07,109.52,
1985-04-02,"79,06","94,58",92.04,107.18,
1985-04-03,"88,79","68,09",124.95,100.45,
1985-04-04,"155,72","127,01",188.34,101.98,
1985-04-05,"95,55","95,26",79.46,103.2,
1985-04-06,"179,06","111,57",204.73,108.39,
1985-04-07,"57,54","81,94",41.01,106.57,
1985-04-08,"149,37","70,08",204.58,115.01,
1985-04-09,"96,72","96,42",80.42,117.54,
1985-04-10,"92,44","107,52",76.87,118.06,
1985-04-11,"115,98","101,17",120.55,112.38,
1985-04-12,"81,25","37,39",103.94,110.34,
1985-04-13,"29,23","38,85",16.2,88.93,
1985-04-14,"53,43","53,26",44.43,88.35,
1985-04-15,"45,75","36,49",45.65,73.54,
1985-04-16,"135,51","120,09",150.25,79.09,
1985-04-17,"91,43","112,18",70.18,78.94,
1985-04-18,"77,53","98,37",58.61,73.45,
1985-04-19,"37,08","36,97",30.83,67.14,
1985-04-20,"105,83","63,30",123.2,78.08,
1985-04-21,"38,25","61,01",25.45,75.91,
1985-04-22,"50,96","84,68",28.25,76.66,
1985-04-23,"135,04","95,03",145.32,76.59,
1985-04-24,"96,34","73,88",110.92,77.29,
1985-04-25,"136,23","57,18",178.86,85.68,
1985-04-26,"53,62","59,40",49.54,88.04,
1985-04-27,"71,57","40,77",102.02,83.15,
1985-04-28,"41,84","27,81",46.39,83.66,
1985-04-29,"74,16","0,00",123.34,86.97,
1985-04-30,"101,56","62,31",116.94,82.19,
1985-05-01,"88,73","58,97",122.97,81.1,
1985-05-02,"164,91","85,78",214.64,85.2,
1985-05-03,"106,86","82,86",118.47,92.81,
1985-05-04,"110,42","110,08",122.42,98.36,
1985-05-05,"110,64","103,81",108.23,108.18,
1985-05-06,"110,70","50,94",155.78,113.4,
1985-05-07,"130,76","115,87",144.97,117.57,
1985-05-08,"98,46","112,18",116.96,118.96,
1985-05-09,"106,86","106,53",99.96,110.67,
1985-05-10,"87,50","62,31",93.55,107.91,
1985-05-11,"48,71","19,43",64.81,99.09,
1985-05-12,"85,30","85,04",94.58,95.47,
1985-05-13,"97,69","106,24",73.85,93.61,
1985-05-14,"108,10","76,98",141.26,90.38,
1985-05-15,"88,43","108,50",67.87,88.94,
1985-05-16,"96,11","51,10",127.87,87.41,
1985-05-17,"142,41","135,80",164.76,95.25,
1985-05-18,"92,30","102,24",85.28,101.48,
1985-05-19,"95,19","75,92",116.09,102.89,
1985-05-20,"108,75","116,75",97.38,104.47,
1985-05-21,"110,16","141,19",78.51,104.76,
1985-05-22,"139,31","154,32",128.72,112.03,
1985-05-23,"115,87","81,54",147.36,114.86,
1985-05-24,"92,94","66,18",110.4,107.79,
1985-05-25,"71,79","61,34",68.22,104.86,
1985-05-26,"83,96","106,53",63.47,103.25,
1985-05-27,"97,43","64,75",108.02,101.64,
1985-05-28,"121,72","173,35",57.84,103.29,
1985-05-29,"54,87","68,37",57.03,91.22,
1985-05-30,"86,30","79,42",88.32,87.0,
1985-05-31,"107,06","75,34",136.15,89.02,
1985-06-01,"72,01","102,56",34.22,89.05,
1985-06-02,"85,85","99,86",59.49,89.32,
1985-06-03,"120,02","111,67",106.45,92.55,
1985-06-04,"77,94","93,24",51.85,86.29,
1985-06-05,"103,98","103,66",86.46,93.31,
1985-06-06,"99,95","99,64",94.98,95.26,
1985-06-07,"114,46","80,55",134.37,96.32,
1985-06-08,"84,40","84,14",70.18,98.09,
1985-06-09,"71,09","56,69",70.93,95.98,
1985-06-10,"148,19","156,43",144.97,100.0,
1985-06-11,"106,12","90,68",100.85,104.03,
1985-06-12,"120,84","127,56",106.4,106.44,
1985-06-13,"128,89","128,50",107.18,110.57,
1985-06-14,"112,63","105,68",110.18,110.31,
1985-06-15,"114,95","145,85",121.65,114.67,
1985-06-16,"125,14","146,77",97.94,122.4,
1985-06-17,"133,57","230,81",59.24,120.31,
1985-06-18,"258,32","287,82",265.34,142.05,
1985-06-19,"165,63","201,01",203.59,148.45,
1985-06-20,"246,39","300,22",204.88,165.23,
1985-06-21,"213,71","288,25",125.44,179.67,
1985-06-22,"158,21","197,16",180.89,185.85,
1985-06-23,"147,05","169,75",180.2,188.98,
1985-06-24,"230,51","323,43",170.38,202.83,
1985-06-25,"205,66","307,54",146.58,195.31,
1985-06-26,"170,89","183,47",185.82,196.06,
1985-06-27,"204,30","232,77",194.15,190.05,
1985-06-28,"198,24","216,76",223.34,187.84,
1985-06-29,"188,69","313,52",104.6,192.19,
